,depth,width,total_params,baseline
0,1,50,54310,0.4180000126361847
1,1,100,113610,0.4253999888896942
2,1,200,247210,0.4388999938964844
3,1,400,574410,0.4390999972820282
4,2,50,56860,0.4203999936580658
5,2,100,123710,0.43309998512268066
6,2,200,287410,0.44209998846054077
7,2,400,734810,0.44359999895095825
8,3,50,59410,0.39890000224113464
9,3,100,133810,0.42730000615119934
10,3,200,327610,0.43639999628067017
11,3,400,895210,0.4406999945640564
12,4,50,61960,0.10000000149011612
13,4,100,143910,0.10000000149011612
14,4,200,367810,0.10000000149011612
15,4,400,1055610,0.44350001215934753
16,5,50,64510,0.10000000149011612
17,5,100,154010,0.10000000149011612
18,5,200,408010,0.10000000149011612
19,5,400,1216010,0.10000000149011612
