,n_feature,total_params,baseline
0,1,268058,0.7907999753952026
1,2,268058,0.7907999753952026
2,3,268058,0.7907999753952026
3,4,268058,0.7907999753952026
4,5,268058,0.7907999753952026
5,6,268058,0.7907999753952026
6,7,268058,0.7907999753952026
7,8,268058,0.7907999753952026
8,9,268058,0.7907999753952026
9,10,268058,0.7907999753952026
10,11,268058,0.7907999753952026
11,12,268058,0.7907999753952026
12,13,268058,0.7907999753952026
13,14,268058,0.7907999753952026
14,15,268058,0.7907999753952026
15,16,268058,0.7907999753952026
16,17,268058,0.7907999753952026
17,18,268058,0.7907999753952026
18,19,268058,0.7907999753952026
19,20,268058,0.7907999753952026
20,21,268058,0.7907999753952026
21,22,268058,0.7907999753952026
22,23,268058,0.7907999753952026
23,24,268058,0.7907999753952026
24,25,268058,0.7907999753952026
25,26,268058,0.7907999753952026
26,27,268058,0.7907999753952026
27,28,268058,0.7907999753952026
28,29,268058,0.7907999753952026
29,30,268058,0.7907999753952026
