,n_feature,total_params,baseline
0,1,59576,0.9850999712944031
1,2,60002,0.9878000020980835
2,3,60428,0.9886999726295471
3,4,60854,0.9829999804496765
4,5,61280,0.9891999959945679
5,6,61706,0.9858999848365784
6,7,62132,0.9894999861717224
7,8,62558,0.9887999892234802
8,9,62984,0.9864000082015991
9,10,63410,0.9897000193595886
10,11,63836,0.9878000020980835
11,12,64262,0.987500011920929
12,13,64688,0.9884999990463257
13,14,65114,0.991100013256073
14,15,65540,0.9872999787330627
15,16,65966,0.9904000163078308
16,17,66392,0.9886000156402588
17,18,66818,0.9891999959945679
18,19,67244,0.9914000034332275
19,20,67670,0.989300012588501
20,21,68096,0.9866999983787537
21,22,68522,0.9894000291824341
22,23,68948,0.9890999794006348
23,24,69374,0.9882000088691711
24,25,69800,0.9905999898910522
25,26,70226,0.9909999966621399
26,27,70652,0.9911999702453613
27,28,71078,0.989300012588501
28,29,71504,0.9900000095367432
29,30,71930,0.9883000254631042
