depth,width,total_params,baseline
1,50,42310,0.9686999917030334
1,100,89610,0.9731000065803528
1,200,199210,0.9749000072479248
1,400,478410,0.9743000268936157
2,50,44860,0.9624000191688538
2,100,99710,0.9724000096321106
2,200,239410,0.9749000072479248
2,400,638810,0.9761999845504761
3,50,47410,0.9592000246047974
3,100,109810,0.9645000100135803
3,200,279610,0.9700000286102295
3,400,799210,0.9733999967575073
4,50,49960,0.9545999765396118
4,100,119910,0.11349999904632568
4,200,319810,0.9692000150680542
4,400,959610,0.9724000096321106
5,50,52510,0.11349999904632568
5,100,130010,0.11349999904632568
5,200,360010,0.11349999904632568
5,400,1120010,0.9697999954223633
