n_feature,total_params,baseline
1,59576,0.9398999810218811
2,60002,0.9469000101089478
3,60428,0.9419999718666077
4,60854,0.9476000070571899
5,61280,0.954200029373169
6,61706,0.9516000151634216
7,62132,0.9524999856948853
8,62558,0.9523000121116638
9,62984,0.9506999850273132
10,63410,0.9528999924659729
11,63836,0.9542999863624573
12,64262,0.949400007724762
13,64688,0.9539999961853027
14,65114,0.9538000226020813
15,65540,0.9541000127792358
16,65966,0.9559999704360962
17,66392,0.9406999945640564
18,66818,0.958899974822998
19,67244,0.9495000243186951
20,67670,0.9585999846458435
