subspace_dim,test_acc,test_loss
1,0.09799999743700027,2.302584409713745
100,0.5940999984741211,1.2363311052322388
200,0.698199987411499,0.932612419128418
300,0.7842000126838684,0.669309675693512
400,0.8251000046730042,0.5695937871932983
500,0.8518999814987183,0.4796642065048218
600,0.8590999841690063,0.4569028317928314
700,0.8740000128746033,0.40895509719848633
800,0.8794000148773193,0.38843834400177
900,0.8812000155448914,0.3741137385368347
1000,0.8974999785423279,0.33889493346214294
1100,0.9025999903678894,0.32048916816711426
1200,0.9090999960899353,0.3040761351585388
1300,0.90829998254776,0.3108828365802765
1400,0.91839998960495,0.28016719222068787
1500,0.9164000153541565,0.2798594534397125
1600,0.9200999736785889,0.2702350318431854
