subspace_dim,test_acc,test_loss
100,0.12240000069141388,2.283918619155884
500,0.32670000195503235,1.809272289276123
1000,0.3977999985218048,1.66120445728302
1500,0.40400001406669617,1.6222984790802002
2000,0.43869999051094055,1.5598368644714355
2500,0.4636000096797943,1.4881529808044434
3000,0.4918999969959259,1.4192429780960083
3500,0.5198000073432922,1.3433197736740112
4000,0.5406000018119812,1.2857649326324463
6000,0.5598000288009644,1.2564374208450317
8000,0.578499972820282,1.1996040344238281
10000,0.5676000118255615,1.228139042854309
