subspace_dim,test_acc,test_loss
100,0.15870000422000885,2.2358858585357666
500,0.25699999928474426,2.0235185623168945
1000,0.263700008392334,1.932634711265564
1500,0.33059999346733093,1.7180179357528687
2000,0.3643999993801117,1.6705701351165771
3500,0.59579998254776,1.1357287168502808
4000,0.597100019454956,1.1357519626617432
5000,0.616599977016449,1.0732944011688232
10000,0.6669999957084656,0.9443693161010742
20000,0.7153000235557556,0.8146453499794006
30000,0.7423999905586243,0.7419819831848145
50000,0.7493000030517578,0.732915997505188
